sala,disciplina,professor,categoria,periodo (antigo;novo),horario
pre,icc-t2,roberto,outros-cursos,*;*,q16
pre,icc-t2,roberto,outros-cursos,*;*,s14
pre,icc-t3,carlos,outros-cursos,*;*,q18
pre,icc-t3,carlos,outros-cursos,*;*,x20
pre,icc-t5,marcus,outros-cursos,*;*,i08
pre,icc-t5,marcus,outros-cursos,*;*,s10
pre,ingles-t1,outro,opt-geral,*;*,q10
pre,ingles-t1,outro,opt-geral,*;*,s08
pre,ingles-t2,outro,opt-geral,*;*,q20
pre,ingles-t2,outro,opt-geral,*;*,s18
pre,intro-prob-t1,outro,obrigatoria,3;4,i08
pre,intro-prob-t1,outro,obrigatoria,3;4,s10
pre,intro-prob-t2,outro,obrigatoria,3;4,i08
pre,intro-prob-t2,outro,obrigatoria,3;4,s10
pre,intro-prog-t1,marcus,outros-cursos,*;*,q10
pre,intro-prog-t1,marcus,outros-cursos,*;*,s08
pre,intro-prog-t2,marcelo,outros-cursos,*;*,q10
pre,intro-prog-t2,marcelo,outros-cursos,*;*,s08
pre,linear-t1,outro,obrigatoria,3;3,i16
pre,linear-t1,outro,obrigatoria,3;3,t14
pre,lingua-portuguesa-t1,outro,opt-geral,*;*,q08
pre,lingua-portuguesa-t1,outro,opt-geral,*;*,q08
pre,lingua-portuguesa-t1,outro,opt-geral,*;*,x10
pre,lingua-portuguesa-t1,outro,opt-geral,*;*,x10
pre,logica-t1,kyller,obrigatoria,4;3,q08
pre,logica-t1,kyller,obrigatoria,4;3,x10
pre,metodologia-t1,outro,obrigatoria,2;6,i16
pre,metodologia-t1,outro,obrigatoria,2;6,t14
pre,oac-t1,joseana,obrigatoria,4;4,t10
pre,oac-t1,joseana,obrigatoria,4;4,x08
pre,oac-t2,joseana,obrigatoria,4;4,q08
pre,oac-t2,joseana,obrigatoria,4;4,x10
pre,plp-t1,melina,obrigatoria,4;4,t16
pre,plp-t1,melina,obrigatoria,4;4,x14
pre,prog-concorrente-t1,thiago,obrigatoria,-;6,i14
pre,prog-concorrente-t1,thiago,obrigatoria,-;6,s16
pre,prog1-t1,jorge,obrigatoria,1;1,q10
pre,prog1-t1,jorge,obrigatoria,1;1,s08
pre,prog1-t2,dalton,obrigatoria,1;1,q10
pre,prog1-t2,dalton,obrigatoria,1;1,s08
pre,prog1-t3,wilkerson,obrigatoria,1;1,q10
pre,prog1-t3,wilkerson,obrigatoria,1;1,s08
pre,prog2-t1,raquel,obrigatoria,2;2,q08
pre,prog2-t1,raquel,obrigatoria,2;2,x10
pre,prog2-t2,matheus,obrigatoria,2;2,q08
pre,prog2-t2,matheus,obrigatoria,2;2,x10
pre,proj1-t1,kyller,obrigatoria,7;8,i18
pre,proj1-t1,kyller,obrigatoria,7;8,t18
pre,psoft-t1,melina,obrigatoria,4;4,q16
pre/lcc3,psoft-t1,melina,obrigatoria,4;4,s14
pre,psoft-t2,dalton,obrigatoria,4;4,q16
pre/lcc3,psoft-t2,dalton,obrigatoria,4;4,s14
pre,redes-t1,reinaldo,obrigatoria,5;5,i10
pre,redes-t1,reinaldo,obrigatoria,5;5,t08
pre,redes-t2,reinaldo,obrigatoria,5;5,i14
pre,redes-t2,reinaldo,obrigatoria,5;5,t14
pre,so-t1,francisco,obrigatoria,6;5,q10
pre,so-t1,francisco,obrigatoria,6;5,s08
pre,sociologia-t1,outro,opt-geral,*;*,i07
pre,tcomp-t1,andrey,obrigatoria,3;5,t16
pre,tcomp-t1,andrey,obrigatoria,3;5,x14
pre,tecnicas-prog-t1,jose,outros-cursos,*;*,t10
pre,tecnicas-prog-t1,jose,outros-cursos,*;*,x08
pre,tecnicas-prog-t2,jose,outros-cursos,*;*,t16
pre,tecnicas-prog-t2,jose,outros-cursos,*;*,x14
pre,v&v-testes-t1,patricia,opt-especifica,*;*,t16
pre,v&v-testes-t1,patricia,opt-especifica,*;*,x14
pre,vetorial-t1,outro,opt-geral,*;*,i16
pre,vetorial-t1,outro,opt-geral,*;*,t14
re-01,bd2-t1,carlos,opt-especifica,*;*,t10
re-01,bd2-t1,carlos,opt-especifica,*;*,x08
re-01,gestao-si-t2,robert,outros-cursos,*;*,q18
re-01,gestao-si-t2,robert,outros-cursos,*;*,x20
re-01,icc-t1,roberto,outros-cursos,*;*,i10
re-01,icc-t1,roberto,outros-cursos,*;*,t08
re-01,icc-t4,eliane/matheus,outros-cursos,*;*,i16
re-01,icc-t4,eliane/matheus,outros-cursos,*;*,t14
re-02,analise-sistemas-t1,eliane,obrigatoria,5;5,t10
re-02,analise-sistemas-t1,eliane,obrigatoria,5;5,x08
re-02,bd1-t2,clýudio,obrigatoria,5;4,q10
re-02,bd1-t2,clýudio,obrigatoria,5;4,s08
re-02,eda-t2,joýo,obrigatoria,3;3,i10
re-02,eda-t2,joýo,obrigatoria,3;3,t08
re-03,gestao-si-t1,robert,outros-cursos,*;*,i10
re-03,gestao-si-t1,robert,outros-cursos,*;*,t08
re-04,compiladores-t1,franklin,obrigatoria,5;7,t08
